import_batch,source_file,source_relpath,source_sha256,activity_id,start_time,start_time_raw,start_time_utc,start_timezone,start_time_resolution,start_lat,start_lon,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,weather_temp_c,weather_temp_f,weather_source,weather_observation_time,weather_fetch_error,parser,parse_error
tmpnvsuwo68,452445009415798784.fit,/tmp/tmpnvsuwo68/452445009415798784.fit,552143481a459158b0f244efefcbcb5b86753ee3f57628e50715e1a00efc1c0b,452445009415798784,2023-05-30T12:46:45-10:00,2023-05-30 22:46:45+00:00,2023-05-30T22:46:45+00:00,Pacific/Honolulu,source_offset,21.337047,-158.123719,running,,3.13,2161,155,178,14,,,,,,fitdecode,
tmpnvsuwo68,452495649764573185.fit,/tmp/tmpnvsuwo68/452495649764573185.fit,16462bf8dd2c3e5e3726d84f8820a22aabcd9543591e26e81c4a6ace9d2db34f,452495649764573185,2023-06-01T16:40:12-10:00,2023-06-02 02:40:12+00:00,2023-06-02T02:40:12+00:00,Pacific/Honolulu,source_offset,21.361275,-158.048475,running,,3.12,2366,145,161,22,,,,,,fitdecode,
tmpnvsuwo68,452517441054998528.fit,/tmp/tmpnvsuwo68/452517441054998528.fit,8517b2ed5426179f9e7c48f46f9cd0685f2dc983272b0ac15c186f57674557d8,452517441054998528,2023-06-02T15:41:14-10:00,2023-06-03 01:41:14+00:00,2023-06-03T01:41:14+00:00,Pacific/Honolulu,source_offset,21.361322,-158.048309,running,,3.11,2304,145,165,24,,,,,,fitdecode,
tmpnvsuwo68,452531961565577217.fit,/tmp/tmpnvsuwo68/452531961565577217.fit,be6e7599fed4184def55925f43a82bb8c7edf1ccf936fdbb6bb8a43a3a9d82fb,452531961565577217,2023-06-03T06:44:53-10:00,2023-06-03 16:44:53+00:00,2023-06-03T16:44:53+00:00,Pacific/Honolulu,source_offset,21.328197,-158.121799,running,,3.14,2206,152,189,7,,,,,,fitdecode,
tmpnvsuwo68,452563963098464256.fit,/tmp/tmpnvsuwo68/452563963098464256.fit,cb062f3c19688b7f0080d8d914fc9fa6d4a0cc5f67690b0db78dc8c0623b8bed,452563963098464256,2023-06-04T15:51:13-10:00,2023-06-05 01:51:13+00:00,2023-06-05T01:51:13+00:00,Pacific/Honolulu,source_offset,21.361357,-158.048834,running,,3.12,2257,149,163,24,,,,,,fitdecode,
tmpnvsuwo68,452612251147337728.fit,/tmp/tmpnvsuwo68/452612251147337728.fit,02555e8c3f30deaa6a3346af0eafa3083d183e80c39d6d847379717a5256bb61,452612251147337728,2023-06-06T17:47:29-10:00,2023-06-07 03:47:29+00:00,2023-06-07T03:47:29+00:00,Pacific/Honolulu,source_offset,21.361363,-158.048852,running,,3.11,2344,154,169,23,,,,,,fitdecode,
tmpnvsuwo68,452658642431279104.fit,/tmp/tmpnvsuwo68/452658642431279104.fit,ebe0baaf16671c37c9308a9baf47e77aa152366005caf52586cd881d5773b1fd,452658642431279104,2023-06-08T17:39:47-10:00,2023-06-09 03:39:47+00:00,2023-06-09T03:39:47+00:00,Pacific/Honolulu,source_offset,21.361136,-158.049074,running,,3.77,2825,150,166,20,,,,,,fitdecode,
tmpnvsuwo68,452704736557170688.fit,/tmp/tmpnvsuwo68/452704736557170688.fit,238ccf5653f1c88952aee28b7413e25e690531c92dcbfd01825b0a6573e738ae,452704736557170688,2023-06-10T17:23:38-10:00,2023-06-11 03:23:38+00:00,2023-06-11T03:23:38+00:00,Pacific/Honolulu,source_offset,21.361200,-158.049015,running,,3.74,2714,145,166,26,,,,,,fitdecode,
tmpnvsuwo68,452718028944080896.fit,/tmp/tmpnvsuwo68/452718028944080896.fit,3275d1f16b2c3b0a1a809f21ac95eb45e4fa2b4d33837cfdbeaf3cc006bfc9e9,452718028944080896,2023-06-11T06:37:39-10:00,2023-06-11 16:37:39+00:00,2023-06-11T16:37:39+00:00,Pacific/Honolulu,source_offset,21.328687,-158.121822,running,,6.32,4597,143,181,29,,,,,,fitdecode,
tmpnvsuwo68,452777351032373249.fit,/tmp/tmpnvsuwo68/452777351032373249.fit,a8ed48d13ba0e687dc2ca2cd841622226ad3c7c26f064591efaf177b43ac2a3d,452777351032373249,2023-06-13T17:03:20-10:00,2023-06-14 03:03:20,2023-06-14T03:03:20+00:00,Pacific/Honolulu,naive_utc_gps_timezone,21.361323,-158.048943,running,,3.74,2576,150,172,25,,,,,,fitparse,
tmpnvsuwo68,452797848226922496.fit,/tmp/tmpnvsuwo68/452797848226922496.fit,df434408b6a5f102d1ad6d4cfd01c9af1a777d50654c955253345d7f5757333f,452797848226922496,2023-06-14T17:57:07-10:00,2023-06-15 03:57:07+00:00,2023-06-15T03:57:07+00:00,Pacific/Honolulu,source_offset,21.285602,-157.846624,running,,2.24,1993,153,181,,,,,,,fitdecode,
tmpnvsuwo68,452820412106047488.fit,/tmp/tmpnvsuwo68/452820412106047488.fit,08cb79314344e720791d8ed972eeabb0515a3fecd63bce9041dd9b9bee558541,452820412106047488,2023-06-15T17:04:17-10:00,2023-06-16 03:04:17+00:00,2023-06-16T03:04:17+00:00,Pacific/Honolulu,source_offset,21.361244,-158.048649,running,,4.06,2793,149,165,22,,,,,,fitdecode,
tmpnvsuwo68,452858100175634433.fit,/tmp/tmpnvsuwo68/452858100175634433.fit,823b7cfe723ceda36931ac6878b464e08be93145f0d64a5bb34d295beee691ad,452858100175634433,2023-06-17T07:51:41-10:00,2023-06-17 17:51:41+00:00,2023-06-17T17:51:41+00:00,Pacific/Honolulu,source_offset,21.263890,-157.818638,running,,4.73,3508,153,166,63,,,,,,fitdecode,
tmpnvsuwo68,452880809009905666.fit,/tmp/tmpnvsuwo68/452880809009905666.fit,31e42ae47e72beaa8950471d341cb5b48e0979bb32ce9ffb0ea5ffa0aa8dbcff,452880809009905666,2023-06-18T07:00:29-10:00,2023-06-18 17:00:29+00:00,2023-06-18T17:00:29+00:00,Pacific/Honolulu,source_offset,21.360941,-158.049188,running,,6.36,4832,149,171,32,,,,,,fitdecode,
tmpnvsuwo68,452935893307654144.fit,/tmp/tmpnvsuwo68/452935893307654144.fit,a8b433d770c8a45e5b7a1860e4fa1d3ed4308345ede025d454ad60b9537ae914,452935893307654144,2023-06-20T16:28:40-10:00,2023-06-21 02:28:40+00:00,2023-06-21T02:28:40+00:00,Pacific/Honolulu,source_offset,21.288363,-157.845141,running,,4.36,3153,155,190,5,,,,,,fitdecode,
