source_file,start_time,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,parser,parse_error
452445009415798784.fit,2023-05-30 22:46:45+00:00,running,,3.13,2161,155,178,14,fitdecode,
452495649764573185.fit,2023-06-02 02:40:12+00:00,running,,3.12,2366,145,161,22,fitdecode,
452517441054998528.fit,2023-06-03 01:41:14+00:00,running,,3.11,2304,145,165,24,fitdecode,
452531961565577217.fit,2023-06-03 16:44:53+00:00,running,,3.14,2206,152,189,7,fitdecode,
452563963098464256.fit,2023-06-05 01:51:13+00:00,running,,3.12,2257,149,163,24,fitdecode,
452612251147337728.fit,2023-06-07 03:47:29+00:00,running,,3.11,2344,154,169,23,fitdecode,
452658642431279104.fit,2023-06-09 03:39:47+00:00,running,,3.77,2825,150,166,20,fitdecode,
452704736557170688.fit,2023-06-11 03:23:38+00:00,running,,3.74,2714,145,166,26,fitdecode,
452718028944080896.fit,2023-06-11 16:37:39+00:00,running,,6.32,4597,143,181,29,fitdecode,
452777351032373249.fit,2023-06-14 03:03:20,running,,3.74,2576,150,172,25,fitparse,
452797848226922496.fit,2023-06-15 03:57:07+00:00,running,,2.24,1993,153,181,,fitdecode,
452820412106047488.fit,2023-06-16 03:04:17+00:00,running,,4.06,2793,149,165,22,fitdecode,
452858100175634433.fit,2023-06-17 17:51:41+00:00,running,,4.73,3508,153,166,63,fitdecode,
452880809009905666.fit,2023-06-18 17:00:29+00:00,running,,6.36,4832,149,171,32,fitdecode,
452935893307654144.fit,2023-06-21 02:28:40+00:00,running,,4.36,3153,155,190,5,fitdecode,
452959553745616896.fit,2023-06-22 03:12:39+00:00,running,,3.17,2253,145,160,23,fitdecode,
452983080502722560.fit,2023-06-23 03:05:38+00:00,running,,3.15,2208,142,161,25,fitdecode,
453018891134730240.fit,2023-06-24 16:29:51+00:00,running,,3.75,2652,138,154,22,fitdecode,
453042095232417795.fit,2023-06-25 15:36:37+00:00,running,,7.03,5882,155,189,256,fitdecode,
453098531907993601.fit,2023-06-28 02:59:20+00:00,running,,3.34,2391,145,163,21,fitdecode,
453122625063911424.fit,2023-06-29 03:57:17+00:00,running,,2.72,2267,167,184,3,fitdecode,
453181615902851072.fit,2023-07-01 17:07:08,running,,2.60,1738,150,177,,fitparse,
453203477017952264.fit,2023-07-02 15:38:08,running,,0.83,643,137,147,,fitparse,
